Year,Gender,Age_Group,Employment_Status,Average_Employed
1978,Male,65 years and over,Not in the labour force  (NILF) ,489.2
1978,Male,65 years and over,Unemployed total,1.32
1979,Male,15-19 years,Employed full time,298.22
1979,Male,15-19 years,Employed part time,57.57
1979,Male,15-19 years,Not in the labour force  (NILF) ,236.89
1979,Male,15-19 years,Unemployed total,66.85
1979,Male,20-24 years,Employed full time,482.08
1979,Male,20-24 years,Employed part time,25.65
1979,Male,20-24 years,Not in the labour force  (NILF) ,55.44
1979,Male,20-24 years,Unemployed total,47.87
1979,Male,25-29 years,Employed full time,518.63
1979,Male,25-29 years,Employed part time,18.1
1979,Male,25-29 years,Not in the labour force  (NILF) ,23.62
1979,Male,25-29 years,Unemployed total,25.73
1979,Male,30-34 years,Employed full time,522.9
1979,Male,30-34 years,Employed part time,13.22
1979,Male,30-34 years,Not in the labour force  (NILF) ,20.97
1979,Male,30-34 years,Unemployed total,17.02
1979,Male,35-39 years,Employed full time,423.18
1979,Male,35-39 years,Employed part time,9.85
1979,Male,35-39 years,Not in the labour force  (NILF) ,16.5
1979,Male,35-39 years,Unemployed total,11.69
1979,Male,40-44 years,Employed full time,364.8
1979,Male,40-44 years,Employed part time,7.8
1979,Male,40-44 years,Not in the labour force  (NILF) ,19.28
1979,Male,40-44 years,Unemployed total,9.6
1979,Male,45-49 years,Employed full time,340.6
1979,Male,45-49 years,Employed part time,7.97
1979,Male,45-49 years,Not in the labour force  (NILF) ,24.44
1979,Male,45-49 years,Unemployed total,9.77
1979,Male,50-54 years,Employed full time,333.44
1979,Male,50-54 years,Employed part time,11.9
1979,Male,50-54 years,Not in the labour force  (NILF) ,40.84
1979,Male,50-54 years,Unemployed total,9.05
1979,Male,55-59 years,Employed full time,271.86
1979,Male,55-59 years,Employed part time,12.01
1979,Male,55-59 years,Not in the labour force  (NILF) ,64.05
1979,Male,55-59 years,Unemployed total,9.76
1979,Male,60-64 years,Employed full time,133.69
1979,Male,60-64 years,Employed part time,13.16
1979,Male,60-64 years,Not in the labour force  (NILF) ,127.7
1979,Male,60-64 years,Unemployed total,5.54
1979,Male,15-24 years,Employed full time,780.3
1979,Male,15-24 years,Employed part time,83.22
1979,Male,15-24 years,Not in the labour force  (NILF) ,292.33
1979,Male,15-24 years,Unemployed total,114.72
1979,Male,25-34 years,Employed full time,1041.53
1979,Male,25-34 years,Employed part time,31.32
1979,Male,25-34 years,Not in the labour force  (NILF) ,44.59
1979,Male,25-34 years,Unemployed total,42.75
1979,Male,35-44 years,Employed full time,787.98
1979,Male,35-44 years,Employed part time,17.65
1979,Male,35-44 years,Not in the labour force  (NILF) ,35.78
1979,Male,35-44 years,Unemployed total,21.3
1979,Male,45-54 years,Employed full time,674.05
1979,Male,45-54 years,Employed part time,19.87
1979,Male,45-54 years,Not in the labour force  (NILF) ,65.28
1979,Male,45-54 years,Unemployed total,18.82
1979,Male,55-64 years,Employed full time,405.55
1979,Male,55-64 years,Employed part time,25.17
1979,Male,55-64 years,Not in the labour force  (NILF) ,191.75
1979,Male,55-64 years,Unemployed total,15.29
1979,Male,65 years and over,Employed full time,41.26
1979,Male,65 years and over,Employed part time,24.47
1979,Male,65 years and over,Not in the labour force  (NILF) ,509.79
1979,Male,65 years and over,Unemployed total,1.21
1980,Male,15-19 years,Employed full time,300.53
1980,Male,15-19 years,Employed part time,62.84
1980,Male,15-19 years,Not in the labour force  (NILF) ,227.51
1980,Male,15-19 years,Unemployed total,65.24
1980,Male,20-24 years,Employed full time,494.89
1980,Male,20-24 years,Employed part time,29.37
1980,Male,20-24 years,Not in the labour force  (NILF) ,53.52
1980,Male,20-24 years,Unemployed total,48.42
1980,Male,25-29 years,Employed full time,526.93
1980,Male,25-29 years,Employed part time,16.31
1980,Male,25-29 years,Not in the labour force  (NILF) ,25.92
1980,Male,25-29 years,Unemployed total,26.47
1980,Male,30-34 years,Employed full time,535.7
1980,Male,30-34 years,Employed part time,13.84
1980,Male,30-34 years,Not in the labour force  (NILF) ,22.64
1980,Male,30-34 years,Unemployed total,18.77
1980,Male,35-39 years,Employed full time,434.62
1980,Male,35-39 years,Employed part time,10.45
1980,Male,35-39 years,Not in the labour force  (NILF) ,21.13
1980,Male,35-39 years,Unemployed total,13.38
1980,Male,40-44 years,Employed full time,377.14
1980,Male,40-44 years,Employed part time,7.79
1980,Male,40-44 years,Not in the labour force  (NILF) ,18.37
1980,Male,40-44 years,Unemployed total,8.42
1980,Male,45-49 years,Employed full time,334.76
1980,Male,45-49 years,Employed part time,8.21
1980,Male,45-49 years,Not in the labour force  (NILF) ,24.75
1980,Male,45-49 years,Unemployed total,9.48
1980,Male,50-54 years,Employed full time,333.28
1980,Male,50-54 years,Employed part time,10.38
1980,Male,50-54 years,Not in the labour force  (NILF) ,40.57
1980,Male,50-54 years,Unemployed total,9.14
1980,Male,55-59 years,Employed full time,280.25
1980,Male,55-59 years,Employed part time,13.34
1980,Male,55-59 years,Not in the labour force  (NILF) ,63.49
1980,Male,55-59 years,Unemployed total,8.27
1980,Male,60-64 years,Employed full time,126.74
1980,Male,60-64 years,Employed part time,14.53
1980,Male,60-64 years,Not in the labour force  (NILF) ,137.59
1980,Male,60-64 years,Unemployed total,4.9
1980,Male,15-24 years,Employed full time,795.42
1980,Male,15-24 years,Employed part time,92.21
1980,Male,15-24 years,Not in the labour force  (NILF) ,281.03
1980,Male,15-24 years,Unemployed total,113.67
1980,Male,25-34 years,Employed full time,1062.63
1980,Male,25-34 years,Employed part time,30.15
1980,Male,25-34 years,Not in the labour force  (NILF) ,48.57
1980,Male,25-34 years,Unemployed total,45.24
1980,Male,35-44 years,Employed full time,811.77
1980,Male,35-44 years,Employed part time,18.24
1980,Male,35-44 years,Not in the labour force  (NILF) ,39.5
1980,Male,35-44 years,Unemployed total,21.8
1980,Male,45-54 years,Employed full time,668.04
1980,Male,45-54 years,Employed part time,18.59
1980,Male,45-54 years,Not in the labour force  (NILF) ,65.32
1980,Male,45-54 years,Unemployed total,18.62
1980,Male,55-64 years,Employed full time,406.99
1980,Male,55-64 years,Employed part time,27.87
1980,Male,55-64 years,Not in the labour force  (NILF) ,201.09
1980,Male,55-64 years,Unemployed total,13.17
1980,Male,65 years and over,Employed full time,43.14
1980,Male,65 years and over,Employed part time,22.7
1980,Male,65 years and over,Not in the labour force  (NILF) ,528.76
1980,Male,65 years and over,Unemployed total,0.98
1981,Male,15-19 years,Employed full time,308.62
1981,Male,15-19 years,Employed part time,62.31
1981,Male,15-19 years,Not in the labour force  (NILF) ,221.52
1981,Male,15-19 years,Unemployed total,58.31
1981,Male,20-24 years,Employed full time,514.48
1981,Male,20-24 years,Employed part time,29.17
1981,Male,20-24 years,Not in the labour force  (NILF) ,53.84
1981,Male,20-24 years,Unemployed total,45.36
1981,Male,25-29 years,Employed full time,533.87
1981,Male,25-29 years,Employed part time,19.14
1981,Male,25-29 years,Not in the labour force  (NILF) ,29.38
1981,Male,25-29 years,Unemployed total,27.58
1981,Male,30-34 years,Employed full time,550.19
1981,Male,30-34 years,Employed part time,14.06
1981,Male,30-34 years,Not in the labour force  (NILF) ,25.13
1981,Male,30-34 years,Unemployed total,18.23
1981,Male,35-39 years,Employed full time,457.53
1981,Male,35-39 years,Employed part time,10.72
1981,Male,35-39 years,Not in the labour force  (NILF) ,21.51
1981,Male,35-39 years,Unemployed total,11.45
1981,Male,40-44 years,Employed full time,386.1
1981,Male,40-44 years,Employed part time,9.22
1981,Male,40-44 years,Not in the labour force  (NILF) ,20.14
1981,Male,40-44 years,Unemployed total,9.67
1981,Male,45-49 years,Employed full time,330.93
1981,Male,45-49 years,Employed part time,8.7
1981,Male,45-49 years,Not in the labour force  (NILF) ,27.41
1981,Male,45-49 years,Unemployed total,9.15
1981,Male,50-54 years,Employed full time,329.7
1981,Male,50-54 years,Employed part time,10.92
1981,Male,50-54 years,Not in the labour force  (NILF) ,42.23
1981,Male,50-54 years,Unemployed total,9.52
1981,Male,55-59 years,Employed full time,277.27
1981,Male,55-59 years,Employed part time,12.81
1981,Male,55-59 years,Not in the labour force  (NILF) ,69.37
1981,Male,55-59 years,Unemployed total,9.94
1981,Male,60-64 years,Employed full time,128.58
1981,Male,60-64 years,Employed part time,13.71
1981,Male,60-64 years,Not in the labour force  (NILF) ,145.27
1981,Male,60-64 years,Unemployed total,5.65
1981,Male,15-24 years,Employed full time,823.11
1981,Male,15-24 years,Employed part time,91.48
1981,Male,15-24 years,Not in the labour force  (NILF) ,275.36
1981,Male,15-24 years,Unemployed total,103.67
1981,Male,25-34 years,Employed full time,1084.06
1981,Male,25-34 years,Employed part time,33.21
1981,Male,25-34 years,Not in the labour force  (NILF) ,54.51
1981,Male,25-34 years,Unemployed total,45.81
1981,Male,35-44 years,Employed full time,843.64
1981,Male,35-44 years,Employed part time,19.94
1981,Male,35-44 years,Not in the labour force  (NILF) ,41.65
1981,Male,35-44 years,Unemployed total,21.12
1981,Male,45-54 years,Employed full time,660.63
1981,Male,45-54 years,Employed part time,19.62
1981,Male,45-54 years,Not in the labour force  (NILF) ,69.64
1981,Male,45-54 years,Unemployed total,18.67
1981,Male,55-64 years,Employed full time,405.85
1981,Male,55-64 years,Employed part time,26.52
1981,Male,55-64 years,Not in the labour force  (NILF) ,214.64
1981,Male,55-64 years,Unemployed total,15.6
1981,Male,65 years and over,Employed full time,42.19
1981,Male,65 years and over,Employed part time,22.82
1981,Male,65 years and over,Not in the labour force  (NILF) ,547.66
1981,Male,65 years and over,Unemployed total,0.93
1982,Male,15-19 years,Employed full time,286.03
1982,Male,15-19 years,Employed part time,63.55
1982,Male,15-19 years,Not in the labour force  (NILF) ,227.12
1982,Male,15-19 years,Unemployed total,72.23
1982,Male,20-24 years,Employed full time,501.78
1982,Male,20-24 years,Employed part time,31.39
1982,Male,20-24 years,Not in the labour force  (NILF) ,59.34
1982,Male,20-24 years,Unemployed total,62.94
1982,Male,25-29 years,Employed full time,529.42
1982,Male,25-29 years,Employed part time,21.84
1982,Male,25-29 years,Not in the labour force  (NILF) ,30.86
1982,Male,25-29 years,Unemployed total,39.69
1982,Male,30-34 years,Employed full time,545.38
1982,Male,30-34 years,Employed part time,16.68
1982,Male,30-34 years,Not in the labour force  (NILF) ,23.64
1982,Male,30-34 years,Unemployed total,25.11
1982,Male,35-39 years,Employed full time,479.85
1982,Male,35-39 years,Employed part time,15.44
1982,Male,35-39 years,Not in the labour force  (NILF) ,24.79
1982,Male,35-39 years,Unemployed total,19.24
1982,Male,40-44 years,Employed full time,392.48
1982,Male,40-44 years,Employed part time,11.07
1982,Male,40-44 years,Not in the labour force  (NILF) ,23.75
1982,Male,40-44 years,Unemployed total,14.35
1982,Male,45-49 years,Employed full time,332.14
1982,Male,45-49 years,Employed part time,8.5
1982,Male,45-49 years,Not in the labour force  (NILF) ,29.17
1982,Male,45-49 years,Unemployed total,11.62
1982,Male,50-54 years,Employed full time,321.66
1982,Male,50-54 years,Employed part time,12.07
1982,Male,50-54 years,Not in the labour force  (NILF) ,42.77
1982,Male,50-54 years,Unemployed total,12.44
1982,Male,55-59 years,Employed full time,273.01
1982,Male,55-59 years,Employed part time,13.78
1982,Male,55-59 years,Not in the labour force  (NILF) ,74
1982,Male,55-59 years,Unemployed total,11.26
1982,Male,60-64 years,Employed full time,127.41
1982,Male,60-64 years,Employed part time,13.91
1982,Male,60-64 years,Not in the labour force  (NILF) ,158.31
1982,Male,60-64 years,Unemployed total,5.55
1982,Male,15-24 years,Employed full time,787.81
1982,Male,15-24 years,Employed part time,94.94
1982,Male,15-24 years,Not in the labour force  (NILF) ,286.47
1982,Male,15-24 years,Unemployed total,135.18
1982,Male,25-34 years,Employed full time,1074.8
1982,Male,25-34 years,Employed part time,38.52
1982,Male,25-34 years,Not in the labour force  (NILF) ,54.5
1982,Male,25-34 years,Unemployed total,64.8
1982,Male,35-44 years,Employed full time,872.32
1982,Male,35-44 years,Employed part time,26.5
1982,Male,35-44 years,Not in the labour force  (NILF) ,48.54
1982,Male,35-44 years,Unemployed total,33.6
1982,Male,45-54 years,Employed full time,653.8
1982,Male,45-54 years,Employed part time,20.57
1982,Male,45-54 years,Not in the labour force  (NILF) ,71.95
1982,Male,45-54 years,Unemployed total,24.06
1982,Male,55-64 years,Employed full time,400.42
1982,Male,55-64 years,Employed part time,27.68
1982,Male,55-64 years,Not in the labour force  (NILF) ,232.31
1982,Male,55-64 years,Unemployed total,16.82
1982,Male,65 years and over,Employed full time,38.16
1982,Male,65 years and over,Employed part time,22.01
1982,Male,65 years and over,Not in the labour force  (NILF) ,569.15
1982,Male,65 years and over,Unemployed total,0.77
1983,Male,15-19 years,Employed full time,239.61
1983,Male,15-19 years,Employed part time,66.7
1983,Male,15-19 years,Not in the labour force  (NILF) ,247.04
1983,Male,15-19 years,Unemployed total,95.49
1983,Male,20-24 years,Employed full time,471.92
1983,Male,20-24 years,Employed part time,31.79
1983,Male,20-24 years,Not in the labour force  (NILF) ,59.6
1983,Male,20-24 years,Unemployed total,99.46
1983,Male,25-29 years,Employed full time,519.23
1983,Male,25-29 years,Employed part time,22.22
1983,Male,25-29 years,Not in the labour force  (NILF) ,30.26
1983,Male,25-29 years,Unemployed total,59.4
1983,Male,30-34 years,Employed full time,532.23
1983,Male,30-34 years,Employed part time,19.02
1983,Male,30-34 years,Not in the labour force  (NILF) ,25.78
1983,Male,30-34 years,Unemployed total,40.1
1983,Male,35-39 years,Employed full time,497.05
1983,Male,35-39 years,Employed part time,16.34
1983,Male,35-39 years,Not in the labour force  (NILF) ,25.8
1983,Male,35-39 years,Unemployed total,32.76
1983,Male,40-44 years,Employed full time,393.97
1983,Male,40-44 years,Employed part time,11.72
1983,Male,40-44 years,Not in the labour force  (NILF) ,25.61
1983,Male,40-44 years,Unemployed total,24.35
1983,Male,45-49 years,Employed full time,329.71
1983,Male,45-49 years,Employed part time,9.85
1983,Male,45-49 years,Not in the labour force  (NILF) ,30.23
1983,Male,45-49 years,Unemployed total,20.27
1983,Male,50-54 years,Employed full time,306.62
1983,Male,50-54 years,Employed part time,11.98
1983,Male,50-54 years,Not in the labour force  (NILF) ,41.84
1983,Male,50-54 years,Unemployed total,21.93
1983,Male,55-59 years,Employed full time,260.11
1983,Male,55-59 years,Employed part time,15.49
1983,Male,55-59 years,Not in the labour force  (NILF) ,80.94
1983,Male,55-59 years,Unemployed total,19.45
1983,Male,60-64 years,Employed full time,118.42
1983,Male,60-64 years,Employed part time,14.31
1983,Male,60-64 years,Not in the labour force  (NILF) ,175.59
1983,Male,60-64 years,Unemployed total,10.42
1983,Male,15-24 years,Employed full time,711.53
1983,Male,15-24 years,Employed part time,98.49
1983,Male,15-24 years,Not in the labour force  (NILF) ,306.64
1983,Male,15-24 years,Unemployed total,194.95
1983,Male,25-34 years,Employed full time,1051.47
1983,Male,25-34 years,Employed part time,41.24
1983,Male,25-34 years,Not in the labour force  (NILF) ,56.04
1983,Male,25-34 years,Unemployed total,99.49
1983,Male,35-44 years,Employed full time,891.02
1983,Male,35-44 years,Employed part time,28.05
1983,Male,35-44 years,Not in the labour force  (NILF) ,51.41
1983,Male,35-44 years,Unemployed total,57.11
1983,Male,45-54 years,Employed full time,636.33
1983,Male,45-54 years,Employed part time,21.84
1983,Male,45-54 years,Not in the labour force  (NILF) ,72.07
1983,Male,45-54 years,Unemployed total,42.2
1983,Male,55-64 years,Employed full time,378.53
1983,Male,55-64 years,Employed part time,29.8
1983,Male,55-64 years,Not in the labour force  (NILF) ,256.53
1983,Male,55-64 years,Unemployed total,29.86
1983,Male,65 years and over,Employed full time,37.35
1983,Male,65 years and over,Employed part time,21.19
1983,Male,65 years and over,Not in the labour force  (NILF) ,584.29
1983,Male,65 years and over,Unemployed total,1.13
1984,Male,15-19 years,Employed full time,239.12
1984,Male,15-19 years,Employed part time,69.32
1984,Male,15-19 years,Not in the labour force  (NILF) ,253.19
1984,Male,15-19 years,Unemployed total,90.16
1984,Male,20-24 years,Employed full time,479.98
1984,Male,20-24 years,Employed part time,35.54
1984,Male,20-24 years,Not in the labour force  (NILF) ,66.16
1984,Male,20-24 years,Unemployed total,84.81
1984,Male,25-29 years,Employed full time,534.52
1984,Male,25-29 years,Employed part time,18.83
1984,Male,25-29 years,Not in the labour force  (NILF) ,33.42
1984,Male,25-29 years,Unemployed total,52.57
1984,Male,30-34 years,Employed full time,535.89
1984,Male,30-34 years,Employed part time,17.01
1984,Male,30-34 years,Not in the labour force  (NILF) ,26.04
1984,Male,30-34 years,Unemployed total,37.25
1984,Male,35-39 years,Employed full time,519.78
1984,Male,35-39 years,Employed part time,15.82
1984,Male,35-39 years,Not in the labour force  (NILF) ,29.66
1984,Male,35-39 years,Unemployed total,30.07
1984,Male,40-44 years,Employed full time,414.97
1984,Male,40-44 years,Employed part time,12.71
1984,Male,40-44 years,Not in the labour force  (NILF) ,24.96
1984,Male,40-44 years,Unemployed total,21.22
1984,Male,45-49 years,Employed full time,342
1984,Male,45-49 years,Employed part time,10.89
1984,Male,45-49 years,Not in the labour force  (NILF) ,31.79
1984,Male,45-49 years,Unemployed total,19.86
1984,Male,50-54 years,Employed full time,304.97
1984,Male,50-54 years,Employed part time,12.72
1984,Male,50-54 years,Not in the labour force  (NILF) ,42.09
1984,Male,50-54 years,Unemployed total,19.28
1984,Male,55-59 years,Employed full time,265.88
1984,Male,55-59 years,Employed part time,15.19
1984,Male,55-59 years,Not in the labour force  (NILF) ,83.97
1984,Male,55-59 years,Unemployed total,17.42
1984,Male,60-64 years,Employed full time,120.59
1984,Male,60-64 years,Employed part time,16.18
1984,Male,60-64 years,Not in the labour force  (NILF) ,187.42
1984,Male,60-64 years,Unemployed total,10.97
1984,Male,15-24 years,Employed full time,719.1
1984,Male,15-24 years,Employed part time,104.86
1984,Male,15-24 years,Not in the labour force  (NILF) ,319.35
1984,Male,15-24 years,Unemployed total,174.97
1984,Male,25-34 years,Employed full time,1070.41
1984,Male,25-34 years,Employed part time,35.84
1984,Male,25-34 years,Not in the labour force  (NILF) ,59.46
1984,Male,25-34 years,Unemployed total,89.82
1984,Male,35-44 years,Employed full time,934.76
1984,Male,35-44 years,Employed part time,28.53
1984,Male,35-44 years,Not in the labour force  (NILF) ,54.62
1984,Male,35-44 years,Unemployed total,51.29
1984,Male,45-54 years,Employed full time,646.97
1984,Male,45-54 years,Employed part time,23.61
1984,Male,45-54 years,Not in the labour force  (NILF) ,73.88
1984,Male,45-54 years,Unemployed total,39.14
1984,Male,55-64 years,Employed full time,386.48
1984,Male,55-64 years,Employed part time,31.37
1984,Male,55-64 years,Not in the labour force  (NILF) ,271.39
1984,Male,55-64 years,Unemployed total,28.39
1984,Male,65 years and over,Employed full time,37.23
1984,Male,65 years and over,Employed part time,23.2
1984,Male,65 years and over,Not in the labour force  (NILF) ,599.81
1984,Male,65 years and over,Unemployed total,0.96
1985,Male,15-19 years,Employed full time,244.61
1985,Male,15-19 years,Employed part time,75.74
1985,Male,15-19 years,Not in the labour force  (NILF) ,259.79
1985,Male,15-19 years,Unemployed total,81.99
1985,Male,20-24 years,Employed full time,492.15
1985,Male,20-24 years,Employed part time,35.35
1985,Male,20-24 years,Not in the labour force  (NILF) ,64.65
1985,Male,20-24 years,Unemployed total,74.26
1985,Male,25-29 years,Employed full time,547.14
1985,Male,25-29 years,Employed part time,20.96
1985,Male,25-29 years,Not in the labour force  (NILF) ,36.72
1985,Male,25-29 years,Unemployed total,49.24
1985,Male,30-34 years,Employed full time,530.9
1985,Male,30-34 years,Employed part time,18.65
1985,Male,30-34 years,Not in the labour force  (NILF) ,31.62
1985,Male,30-34 years,Unemployed total,36.72
1985,Male,35-39 years,Employed full time,543.74
1985,Male,35-39 years,Employed part time,15.47
1985,Male,35-39 years,Not in the labour force  (NILF) ,31.08
1985,Male,35-39 years,Unemployed total,26.03
1985,Male,40-44 years,Employed full time,432.68
1985,Male,40-44 years,Employed part time,12.02
1985,Male,40-44 years,Not in the labour force  (NILF) ,28.32
1985,Male,40-44 years,Unemployed total,21.17
1985,Male,45-49 years,Employed full time,359.3
1985,Male,45-49 years,Employed part time,10.37
1985,Male,45-49 years,Not in the labour force  (NILF) ,33.42
1985,Male,45-49 years,Unemployed total,15.89
1985,Male,50-54 years,Employed full time,297.28
1985,Male,50-54 years,Employed part time,12.69
1985,Male,50-54 years,Not in the labour force  (NILF) ,47.03
1985,Male,50-54 years,Unemployed total,18.07
1985,Male,55-59 years,Employed full time,261.54
1985,Male,55-59 years,Employed part time,14.93
1985,Male,55-59 years,Not in the labour force  (NILF) ,88
1985,Male,55-59 years,Unemployed total,20.19
1985,Male,60-64 years,Employed full time,123.63
1985,Male,60-64 years,Employed part time,16.02
1985,Male,60-64 years,Not in the labour force  (NILF) ,193.7
1985,Male,60-64 years,Unemployed total,11.37
1985,Male,15-24 years,Employed full time,736.76
1985,Male,15-24 years,Employed part time,111.08
1985,Male,15-24 years,Not in the labour force  (NILF) ,324.44
1985,Male,15-24 years,Unemployed total,156.25
1985,Male,25-34 years,Employed full time,1078.04
1985,Male,25-34 years,Employed part time,39.61
1985,Male,25-34 years,Not in the labour force  (NILF) ,68.34
1985,Male,25-34 years,Unemployed total,85.96
1985,Male,35-44 years,Employed full time,976.41
1985,Male,35-44 years,Employed part time,27.49
1985,Male,35-44 years,Not in the labour force  (NILF) ,59.41
1985,Male,35-44 years,Unemployed total,47.21
1985,Male,45-54 years,Employed full time,656.58
1985,Male,45-54 years,Employed part time,23.07
1985,Male,45-54 years,Not in the labour force  (NILF) ,80.45
1985,Male,45-54 years,Unemployed total,33.96
1985,Male,55-64 years,Employed full time,385.18
1985,Male,55-64 years,Employed part time,30.95
1985,Male,55-64 years,Not in the labour force  (NILF) ,281.7
1985,Male,55-64 years,Unemployed total,31.56
1985,Male,65 years and over,Employed full time,37.43
1985,Male,65 years and over,Employed part time,23.78
1985,Male,65 years and over,Not in the labour force  (NILF) ,620.14
1985,Male,65 years and over,Unemployed total,1
1986,Male,15-19 years,Employed full time,246.31
1986,Male,15-19 years,Employed part time,90.67
1986,Male,15-19 years,Not in the labour force  (NILF) ,261.6
1986,Male,15-19 years,Unemployed total,83.95
1986,Male,20-24 years,Employed full time,491.02
1986,Male,20-24 years,Employed part time,37.11
1986,Male,20-24 years,Not in the labour force  (NILF) ,62
1986,Male,20-24 years,Unemployed total,71.93
1986,Male,25-29 years,Employed full time,562.4
1986,Male,25-29 years,Employed part time,21.81
1986,Male,25-29 years,Not in the labour force  (NILF) ,36.47
1986,Male,25-29 years,Unemployed total,47.99
1986,Male,30-34 years,Employed full time,545.59
1986,Male,30-34 years,Employed part time,17.45
1986,Male,30-34 years,Not in the labour force  (NILF) ,29.12
1986,Male,30-34 years,Unemployed total,33.94
1986,Male,35-39 years,Employed full time,556.52
1986,Male,35-39 years,Employed part time,15.54
1986,Male,35-39 years,Not in the labour force  (NILF) ,30.67
1986,Male,35-39 years,Unemployed total,27.77
1986,Male,40-44 years,Employed full time,454.75
1986,Male,40-44 years,Employed part time,12.8
1986,Male,40-44 years,Not in the labour force  (NILF) ,31.7
1986,Male,40-44 years,Unemployed total,21.41
1986,Male,45-49 years,Employed full time,366.28
1986,Male,45-49 years,Employed part time,12.64
1986,Male,45-49 years,Not in the labour force  (NILF) ,34.66
1986,Male,45-49 years,Unemployed total,18.71
1986,Male,50-54 years,Employed full time,301.99
1986,Male,50-54 years,Employed part time,12.65
1986,Male,50-54 years,Not in the labour force  (NILF) ,45.36
1986,Male,50-54 years,Unemployed total,17.3
1986,Male,55-59 years,Employed full time,261.66
1986,Male,55-59 years,Employed part time,16.71
1986,Male,55-59 years,Not in the labour force  (NILF) ,88.22
1986,Male,55-59 years,Unemployed total,17.56
1986,Male,60-64 years,Employed full time,132.92
1986,Male,60-64 years,Employed part time,16.46
1986,Male,60-64 years,Not in the labour force  (NILF) ,191.66
1986,Male,60-64 years,Unemployed total,10.27
1986,Male,15-24 years,Employed full time,737.34
1986,Male,15-24 years,Employed part time,127.78
1986,Male,15-24 years,Not in the labour force  (NILF) ,323.6
1986,Male,15-24 years,Unemployed total,155.88
1986,Male,25-34 years,Employed full time,1107.99
1986,Male,25-34 years,Employed part time,39.25
1986,Male,25-34 years,Not in the labour force  (NILF) ,65.59
1986,Male,25-34 years,Unemployed total,81.93
1986,Male,35-44 years,Employed full time,1011.26
1986,Male,35-44 years,Employed part time,28.34
1986,Male,35-44 years,Not in the labour force  (NILF) ,62.37
1986,Male,35-44 years,Unemployed total,49.18
1986,Male,45-54 years,Employed full time,668.27
1986,Male,45-54 years,Employed part time,25.29
1986,Male,45-54 years,Not in the labour force  (NILF) ,80.02
1986,Male,45-54 years,Unemployed total,36.01
1986,Male,55-64 years,Employed full time,394.58
